FECHA_DE_MUESTREO,ESTACIONES,pH,TURBIEDAD_,SOLIDOS_TOTALES_,SOLIDOS_SUSPENDIDOS_TOTALES_,SOLIDOS_DISUELTOS_,DEMANDA_BIOQUIMICA_DE_OXIGENO_,DEMANDA_QUIMICA_DE_OXIGENO_,OXIGENO_DISUELTO_,CONDUCTIVIDAD_ELÉCTRICA_,COLIFORMES_TOTALES_,NITROGENO_TOTAL_,FOSFORO_TOTAL_
quinquenio1,ANTES SUAREZ,6.6,,157.0,29.3,127.7,0.5,5.2,5.6,73.9,,0.41,0.042
quinquenio1,ANTES RIO OVEJAS,6.7,,143.0,65.0,78.0,2.1,24.0,6.0,67.9,,,
quinquenio1,ANTES RIO TIMBA,6.8,,181.0,109.0,72.0,2.8,6.2,6.9,69.5,,,0.11
quinquenio1,PASO DE LA BALSA,7.1,,380.0,293.0,87.0,1.0,26.0,7.2,62.2,,,
quinquenio1,PASO DE LA BOLSA,6.9,,187.0,118.0,69.0,1.6,64.8,6.5,71.7,,,0.08
quinquenio1,PUENTE HORMIGUERO,6.8,,372.0,315.0,57.0,0.7,18.7,6.3,85.8,,,0.21
quinquenio1,ANTES INTERCEPTOR SUR,6.9,,238.0,175.0,63.0,3.0,10.4,5.8,82.6,,,0.2
quinquenio1,JUANCHITO,6.8,,,364.0,,2.0,16.0,5.7,90.0,,,0.28
quinquenio1,PASO DEL COMERCIO,7.1,,316.0,215.0,101.0,3.0,44.0,5.9,81.4,,,
quinquenio1,PUERTO ISAACS,7.0,,346.0,245.0,101.0,3.3,30.0,5.2,89.1,,,
quinquenio1,PASO DE LA TORRE,7.2,,397.0,21.7,85.3,3.0,37.0,3.4,110.6,,,
quinquenio1,VIJES,7.3,,536.0,421.7,114.3,5.1,48.0,2.4,127.3,,,
quinquenio1,YOTOCO,7.1,,464.0,345.0,119.0,0.8,51.0,1.6,139.0,,,
quinquenio1,MEDIACANOA,7.4,,562.0,411.7,150.3,5.3,45.0,1.5,13.7,,,
quinquenio1,RIOFRIO,7.3,,563.0,460.0,103.0,3.8,55.0,2.7,130.6,,,
quinquenio1,PUENTE GUAYABAL,7.3,,764.0,608.4,155.6,3.72,59.0,2.6,153.6,,,
quinquenio1,LA VICTORIA,7.4,,774.0,636.7,137.3,3.24,59.0,2.6,156.9,,,
quinquenio1,ANACARO,7.8,,978.0,818.4,159.6,3.24,59.0,3.0,157.9,,,
quinquenio1,PUENTE LA VIRGINIA,7.4,,678.0,551.7,126.3,2.28,44.0,3.3,153.6,,,
quinquenio1,ANTES SUAREZ,6.6,2.6,84.0,4.6,4.6,1.5,20.8,3.8,84.0,,,0.06
quinquenio1,ANTES RIO OVEJAS,6.5,,135.0,22.2,112.8,0.2,5.2,5.5,73.9,23.0,,0.042
quinquenio1,ANTES RIO TIMBA,7.1,,611.0,524.9,86.1,1.1,39.0,7.2,50.0,241000.0,,
quinquenio1,PASO DE LA BALSA,6.9,,231.0,132.9,98.1,0.6,4.1,6.4,72.8,,,0.1
quinquenio1,PASO DE LA BOLSA,7.3,,359.0,171.0,88.0,33.0,7.1,30.8,0.45,,,
quinquenio1,PUENTE HORMIGUERO,7.2,,464.0,360.0,104.0,39.0,6.5,37.4,15.1,,,
quinquenio1,ANTES INTERCEPTOR SUR,7.2,,358.0,271.0,87.0,33.0,6.5,39.6,3.1,,,
quinquenio1,JUANCHITO,7.2,220.0,638.0,243.3,394.7,1.6,24.0,5.3,82.2,,,0.268
quinquenio1,PASO DEL COMERCIO,7.0,180.0,530.0,435.0,95.0,2.3,24.0,5.2,88.5,,,0.21
quinquenio1,PUERTO ISAACS,7.0,120.0,350.0,246.0,104.0,1.8,16.0,4.7,,,,0.001
quinquenio1,PASO DE LA TORRE,6.8,,,576.0,,3.3,52.0,3.9,121.2,,,0.3
quinquenio1,VIJES,7.0,,220.0,147.0,73.0,1.9,17.7,2.8,113.4,,,0.24
quinquenio1,YOTOCO,7.5,,308.0,271.0,37.0,1.9,20.8,2.8,164.3,,,0.23
quinquenio1,MEDIACANOA,7.1,,526.0,466.0,,2.1,36.4,2.5,127.0,,,0.285
quinquenio1,RIOFRIO,6.6,,592.0,250.0,242.0,3.3,31.2,15.0,116.3,,,0.445
quinquenio1,PUENTE GUAYABAL,6.6,,546.0,129.9,218.5,1.3,23.9,2.6,122.4,,,0.32
quinquenio1,LA VICTORIA,6.7,,592.0,488.7,103.3,0.1,23.9,2.3,117.0,,,0.395
quinquenio1,ANACARO,6.8,73.0,321.0,137.8,183.2,4.7,27.0,2.0,140.0,,,0.28
quinquenio1,PUENTE LA VIRGINIA,6.7,45.0,260.0,91.3,168.7,4.5,21.8,3.2,137.0,,,0.2
quinquenio1,ANTES RIO OVEJAS,6.5,3.0,91.0,6.1,84.9,1.7,17.7,4.0,84.0,,,0.1
quinquenio1,ANTES RIO TIMBA,6.7,9.0,106.0,7.9,98.1,0.1,1.46,5.5,83.4,,,0.05
quinquenio1,PASO DE LA BALSA,7.1,2.8,70.0,3.6,66.4,0.7,14.6,6.6,82.0,,,0.11
quinquenio1,PASO DE LA BOLSA,7.1,15.0,98.0,32.3,65.7,1.0,23.9,6.0,83.4,,,1.32
quinquenio1,PUENTE HORMIGUERO,7.3,23.0,145.0,39.5,105.5,0.3,18.7,5.8,92.5,,,0.12
quinquenio1,ANTES INTERCEPTOR SUR,6.8,82.0,383.0,182.5,200.5,19.5,180.0,,319.5,,,2.3
quinquenio1,JUANCHITO,7.0,70.0,109.0,,,,,5.8,,,,0.195
quinquenio1,PASO DEL COMERCIO,7.0,26.0,189.0,61.6,127.4,2.6,27.0,4.5,115.8,,,0.25
quinquenio1,PUERTO ISAACS,7.1,35.0,203.0,65.0,138.0,15.0,16.6,3.0,123.7,,,0.15
quinquenio1,PASO DE LA TORRE,7.0,100.0,280.0,203.0,77.0,3.8,20.0,4.8,111.8,,,0.27
quinquenio1,VIJES,7.2,88.0,,114.0,,,,1.9,,,,0.252
quinquenio1,YOTOCO,6.6,40.0,201.0,56.0,145.0,2.0,17.7,0.6,161.6,,,0.21
quinquenio1,MEDIACANOA,7.0,30.0,220.0,93.0,127.0,2.6,22.9,0.9,134.0,,,0.15
quinquenio1,RIOFRIO,7.1,45.0,211.0,100.0,111.0,2.0,22.9,2.0,151.5,,,0.2
quinquenio1,PUENTE GUAYABAL,7.1,41.0,283.0,,153.1,3.7,8.3,2.2,160.0,,,0.3
quinquenio1,LA VICTORIA,6.9,69.0,245.0,79.2,165.8,4.6,21.8,2.0,110.0,,,0.24
quinquenio1,JUANCHITO,7.1,33.0,173.0,62.0,111.0,0.8,15.6,5.0,95.9,,,0.15
quinquenio1,PUERTO ISAACS,6.6,28.0,172.0,33.0,139.0,5.3,16.0,2.3,156.6,,,
quinquenio1,PASO DE LA TORRE,7.0,30.0,233.0,85.0,148.0,4.8,36.4,0.4,163.2,,,0.25
quinquenio1,VIJES,6.9,25.0,169.0,50.0,119.0,3.4,19.8,,156.4,,,0.25
quinquenio1,MEDIACANOA,7.5,32.5,218.0,16.0,202.0,2.2,16.6,0.9,145.0,,,0.14
quinquenio1,RIOFRIO,6.6,350.0,2361.0,2112.0,248.5,2.6,156.0,3.2,150.0,,,0.08
quinquenio1,JUANCHITO,7.1,50.0,113.0,,,3.21,24.0,4.1,,,,0.096
quinquenio1,VIJES,6.9,35.0,66.0,,,6.0,40.0,,,,,0.15
quinquenio1,MEDIACANOA,6.6,400.0,892.0,876.7,15.3,3.5,60.0,2.8,130.0,,,0.05
quinquenio1,JUANCHITO,6.8,,,98.5,,1.6,16.0,5.3,,,,0.128
quinquenio1,VIJES,6.6,34.0,219.0,95.0,124.0,7.6,32.0,,215.4,,,
quinquenio1,JUANCHITO,6.8,210.0,465.0,334.0,131.0,1.6,64.0,5.2,100.0,,,0.045
quinquenio1,ANTES SUAREZ,6.7,43.0,107.0,31.3,75.7,0.9,14.0,4.7,82.0,2400.0,1.03,0.048
quinquenio1,ANTES RIO OVEJAS,6.8,8.0,88.0,5.6,82.4,0.1,17.7,5.2,82.8,24000.0,0.78,0.022
quinquenio1,ANTES RIO TIMBA,7.0,15.0,104.0,18.8,85.2,0.8,13.5,6.2,72.6,240000.0,0.78,0.05
quinquenio1,PASO DE LA BALSA,7.2,12.0,110.0,14.5,95.5,0.2,18.7,5.2,101.2,240000.0,0.98,0.1
quinquenio1,PASO DE LA BOLSA,6.8,27.0,144.0,45.0,99.0,0.4,15.6,4.2,64.4,2400000.0,0.78,0.065
quinquenio1,PUENTE HORMIGUERO,6.8,42.0,154.0,92.0,62.0,4.1,19.8,4.8,64.4,240000.0,0.98,0.1
quinquenio1,ANTES INTERCEPTOR SUR,6.8,90.0,409.0,290.0,119.0,2.5,29.2,5.3,88.0,24000000.0,2.05,0.098
quinquenio1,JUANCHITO,7.5,140.0,,282.0,,1.5,64.0,3.7,98.0,94000000.0,1.5,0.175
quinquenio1,PASO DEL COMERCIO,6.9,85.0,491.0,346.0,145.0,1.2,36.0,3.6,98.0,24000000.0,1.82,0.237
quinquenio1,PUERTO ISAACS,7.0,115.0,795.0,338.0,457.0,2.0,44.0,2.7,102.3,24000000.0,2.79,0.197
quinquenio1,PASO DE LA TORRE,6.9,85.0,282.0,195.0,87.0,0.77,36.0,1.7,111.2,2400000.0,1.72,0.235
quinquenio1,VIJES,7.0,64.0,235.0,155.0,80.0,0.86,24.0,0.6,115.7,240000.0,2.15,0.236
quinquenio1,YOTOCO,6.9,62.0,278.0,144.0,134.0,1.6,35.6,0.2,115.7,24000.0,1.93,0.277
quinquenio1,MEDIACANOA,7.0,80.0,317.0,177.0,140.0,2.0,38.9,1.2,115.7,24000000.0,2.36,0.062
quinquenio1,RIOFRIO,7.0,80.0,371.0,199.0,172.0,3.1,15.0,2.1,177.3,24000.0,3.22,0.199
quinquenio1,PUENTE GUAYABAL,7.6,44.0,195.0,103.0,92.0,2.7,15.6,2.2,141.4,24000000.0,1.7,0.171
quinquenio1,LA VICTORIA,7.5,70.0,283.0,202.0,81.0,4.9,15.6,2.5,160.3,2400000000.0,2.1,0.282
quinquenio1,ANACARO,7.7,75.0,449.0,235.7,213.3,2.3,22.9,2.6,160.3,2400000.0,1.5,0.27
quinquenio1,PUENTE LA VIRGINIA,7.1,225.0,1233.0,706.0,527.0,3.9,56.0,3.5,174.8,240000.0,2.8,0.624
quinquenio1,ANTES SUAREZ,6.9,7.0,119.0,11.4,107.6,0.8,24.0,3.1,64.0,24000.0,2.68,0.11
quinquenio1,ANTES RIO OVEJAS,6.8,50.0,114.0,38.9,75.1,1.6,9.7,5.5,82.0,24000.0,1.68,0.029
quinquenio1,ANTES RIO TIMBA,6.9,43.0,129.0,55.0,74.0,0.3,7.6,6.4,72.0,24000.0,1.5,0.061
quinquenio1,PASO DE LA BALSA,7.0,73.0,166.0,93.0,73.0,1.0,6.5,6.5,76.0,24000.0,1.33,0.095
quinquenio1,PASO DE LA BOLSA,6.8,80.0,195.0,99.0,96.0,2.0,32.4,3.8,68.0,24000.0,1.54,0.208
quinquenio1,PUENTE HORMIGUERO,6.8,200.0,422.0,304.3,118.0,0.9,31.3,5.5,78.0,240000.0,1.6,0.055
quinquenio1,ANTES INTERCEPTOR SUR,7.1,24.0,180.0,61.0,119.0,1.2,16.3,4.4,110.4,240000000.0,1.29,0.091
quinquenio1,JUANCHITO,7.0,150.0,,246.0,,2.5,18.4,4.6,88.4,24000000.0,2.26,0.277
quinquenio1,PASO DEL COMERCIO,7.0,160.0,395.0,252.0,143.0,2.7,20.5,4.2,104.6,24000000.0,2.36,0.083
quinquenio1,PUERTO ISAACS,7.0,180.0,427.0,266.0,161.0,3.0,20.0,3.8,99.9,240000000.0,2.05,0.169
quinquenio1,PASO DE LA TORRE,7.0,200.0,547.0,366.0,181.0,2.8,28.0,3.1,115.0,24000000.0,2.05,0.354
quinquenio1,VIJES,7.0,170.0,588.0,396.0,192.0,2.9,32.0,3.1,120.7,240000.0,3.59,0.203
quinquenio1,YOTOCO,7.0,230.0,727.0,428.0,298.7,2.3,44.0,2.5,120.7,240000.0,2.85,0.221
quinquenio1,MEDIACANOA,6.8,280.0,833.0,598.3,234.7,2.1,56.0,2.3,113.3,1400000.0,2.71,0.41
quinquenio1,RIOFRIO,7.2,25.0,239.0,93.5,145.5,1.3,52.0,1.6,184.0,240000.0,2.53,0.206
quinquenio1,PUENTE GUAYABAL,7.1,80.0,322.0,178.0,144.0,3.0,3.8,1.7,177.3,24000.0,5.15,0.27
quinquenio1,LA VICTORIA,7.0,140.0,526.0,359.0,167.0,3.2,169.2,1.8,161.4,24000000.0,2.58,0.232
quinquenio1,ANACARO,7.0,130.0,460.0,298.0,162.0,3.1,28.1,1.8,161.4,24000.0,,0.146
quinquenio1,PUENTE LA VIRGINIA,6.8,130.0,482.0,320.0,162.0,3.2,21.6,2.7,170.2,2400000.0,3.86,0.156
quinquenio1,ANTES SUAREZ,6.7,10.0,134.0,4.4,129.6,1.7,9.4,3.3,,2400.0,0.55,0.039
quinquenio1,ANTES RIO OVEJAS,6.5,6.0,201.0,7.6,193.4,1.2,27.1,4.3,113.2,2400.0,1.24,0.08
quinquenio1,ANTES RIO TIMBA,6.4,9.0,105.0,13.2,91.8,0.7,17.7,6.3,99.0,2400.0,1.46,0.1
quinquenio1,PASO DE LA BALSA,6.6,8.0,91.0,15.5,75.5,4.6,15.2,6.6,93.2,24000.0,1.72,0.09
quinquenio1,PASO DE LA BOLSA,7.1,36.0,90.0,24.5,65.5,0.3,10.3,6.0,92.0,2400000.0,1.07,0.027
quinquenio1,PUENTE HORMIGUERO,7.5,32.0,127.0,57.0,70.0,4.8,15.4,6.1,101.2,2400000.0,1.2,0.076
quinquenio1,JUANCHITO,6.6,22.0,,48.0,,1.4,26.5,5.3,99.8,96000000.0,0.9,0.13
quinquenio1,PASO DEL COMERCIO,6.9,20.0,133.0,59.0,74.0,4.2,34.3,5.0,108.8,240000000.0,1.2,0.21
quinquenio1,PUERTO ISAACS,7.2,23.0,144.0,69.0,75.0,5.07,26.7,3.7,108.8,240000000.0,2.06,0.321
quinquenio1,PASO DE LA TORRE,6.9,22.0,189.0,39.0,150.0,3.8,26.0,1.3,127.0,24000000000.0,1.5,0.184
quinquenio1,VIJES,7.2,24.0,192.0,64.0,128.0,3.6,44.5,1.6,127.0,240000.0,1.72,0.265
quinquenio1,YOTOCO,7.0,22.0,186.0,48.5,137.5,2.0,22.3,1.2,145.1,240000000.0,2.06,0.173
quinquenio1,MEDIACANOA,7.0,23.0,268.0,104.0,164.0,3.1,38.5,1.5,136.0,240000000.0,1.85,0.295
quinquenio1,PUENTE GUAYABAL,7.1,20.0,214.0,100.0,114.0,1.6,100.0,2.6,,240000.0,2.36,0.19
quinquenio1,LA VICTORIA,7.1,36.0,189.0,83.0,106.0,2.2,80.0,2.8,186.6,240000.0,2.36,0.29
quinquenio1,ANACARO,7.1,20.0,309.0,91.0,218.0,2.1,92.0,3.0,186.9,240000.0,2.4,0.26
quinquenio1,PUENTE LA VIRGINIA,7.1,25.0,180.0,66.0,114.0,2.8,44.0,3.5,195.8,2400000.0,2.53,0.22
quinquenio1,ANTES RIO OVEJAS,6.5,10.0,147.0,6.0,141.0,4.1,11.4,4.0,,940000.0,0.59,0.032
quinquenio1,ANTES RIO TIMBA,6.8,8.0,129.0,6.5,122.5,1.0,9.4,7.2,,24000.0,0.59,0.039
quinquenio1,PASO DE LA BALSA,7.1,14.0,128.0,18.3,109.7,1.3,4.2,7.0,,2400000.0,0.74,0.032
quinquenio1,PASO DE LA BOLSA,6.3,30.0,171.0,50.0,121.0,2.2,40.0,6.1,113.2,2400000.0,1.46,0.065
quinquenio1,PUENTE HORMIGUERO,6.4,34.0,204.0,63.5,140.5,3.5,40.0,6.2,108.4,2400000.0,1.89,0.092
quinquenio1,JUANCHITO,7.0,25.0,,54.5,,3.3,12.8,5.4,113.3,2400000.0,1.12,0.047
quinquenio1,PASO DEL COMERCIO,6.9,26.0,208.0,27.5,180.5,3.2,42.6,3.5,,2400000000000.0,1.43,0.144
quinquenio1,PUERTO ISAACS,7.1,22.0,156.0,45.5,110.5,2.7,18.8,3.5,145.9,240000000.0,1.16,0.183
quinquenio1,PASO DE LA TORRE,7.1,25.0,167.0,52.5,114.5,3.72,16.3,,128.6,24000000.0,1.5,0.171
quinquenio1,VIJES,7.1,23.0,184.0,65.0,119.0,2.8,12.8,1.7,144.0,2400000.0,1.29,0.146
quinquenio1,YOTOCO,7.0,23.0,253.0,84.5,168.5,2.65,23.1,1.5,148.8,240000.0,1.37,0.169
quinquenio1,MEDIACANOA,7.1,28.0,242.0,78.5,163.5,2.0,18.8,2.5,144.0,,1.29,0.17
quinquenio1,PASO DE LA BOLSA,7.0,14.0,134.0,16.8,117.2,3.2,11.4,6.5,,240000.0,0.98,0.051
quinquenio1,PUENTE HORMIGUERO,7.3,18.0,210.0,66.0,144.0,3.3,11.4,5.7,,240000000.0,1.02,0.067
quinquenio1,JUANCHITO,7.0,25.0,,62.0,,2.3,13.7,3.7,124.2,24000000.0,1.07,0.111
quinquenio1,PASO DEL COMERCIO,6.7,15.0,177.0,39.3,137.7,7.4,29.1,3.5,,240000000000.0,2.04,0.173
quinquenio1,PUERTO ISAACS,6.8,24.0,239.0,78.0,161.0,14.5,45.8,,165.6,2400000000.0,1.29,0.281
quinquenio1,PASO DE LA TORRE,7.1,21.0,252.0,57.0,195.0,11.6,36.0,0.6,211.6,2400000000.0,1.14,0.316
quinquenio1,VIJES,7.0,24.0,225.0,56.0,169.0,9.0,27.4,0.3,213.2,,1.18,0.281
quinquenio1,YOTOCO,7.1,23.0,210.0,71.0,139.0,4.72,23.1,1.1,199.5,,1.07,0.251
quinquenio1,MEDIACANOA,7.2,60.0,325.0,184.0,141.0,5.2,42.0,0.9,204.1,2400000.0,1.07,0.319
quinquenio1,JUANCHITO,6.8,26.0,,35.5,,5.7,29.1,4.7,,2400000000000.0,1.43,0.159
quinquenio1,PUERTO ISAACS,6.8,16.0,243.0,26.0,217.0,4.6,34.3,1.7,,2400000000000.0,1.7,0.216
quinquenio1,PASO DE LA TORRE,7.0,18.0,198.0,24.0,174.0,5.5,29.1,0.4,,940000000.0,1.94,0.186
quinquenio1,VIJES,7.0,15.0,213.0,17.0,196.0,5.3,25.0,0.9,,240000000000.0,1.72,0.211
quinquenio1,YOTOCO,7.0,25.0,343.0,48.0,295.0,4.3,21.8,1.4,,2400000000000.0,1.47,0.174
quinquenio1,MEDIACANOA,7.3,32.0,235.0,113.5,121.5,1.2,44.0,1.5,147.2,24000000.0,3.15,0.206
quinquenio1,JUANCHITO,6.7,13.0,,32.6,,2.5,18.7,4.6,,2400000000.0,1.18,0.055
quinquenio1,PUERTO ISAACS,6.7,14.0,188.0,55.0,133.0,4.6,35.4,1.1,,94000000.0,2.19,0.229
quinquenio1,PASO DE LA TORRE,6.7,13.0,219.0,36.3,182.7,4.7,30.2,0.2,,9600000000.0,2.35,0.205
quinquenio1,VIJES,6.8,15.0,232.0,43.5,188.5,6.5,35.4,0.5,,24000000000.0,2.22,0.321
quinquenio1,YOTOCO,6.8,16.0,225.0,64.5,160.5,4.3,28.1,1.0,,94000000.0,1.84,0.205
quinquenio1,MEDIACANOA,7.0,25.0,203.0,38.5,164.5,4.2,26.0,1.3,,240000.0,1.61,0.192
quinquenio1,PASO DE LA TORRE,7.3,,,53.0,,,22.9,,,,4.7,0.212
quinquenio1,VIJES,7.3,,,82.0,,,20.0,,,,2.55,0.216
quinquenio1,YOTOCO,7.3,,,66.0,,,32.2,,,,7.45,0.262
quinquenio1,MEDIACANOA,6.7,16.0,217.0,32.0,185.0,4.3,28.1,1.3,,24000000000.0,2.24,0.236
quinquenio1,PASO DE LA TORRE,7.3,,,98.0,,,33.3,,,,2.35,0.255
quinquenio1,VIJES,7.3,,,157.0,,,37.4,,,,3.14,0.229
quinquenio1,YOTOCO,7.4,,,75.0,,,20.0,,,,2.55,0.25
quinquenio1,MEDIACANOA,7.3,,,45.0,,,21.8,,,,7.45,0.262
quinquenio1,ANTES SUAREZ,6.4,,,,,,,6.8,,,,
quinquenio1,PUENTE HORMIGUERO,6.7,,,184.0,,,22.0,,75.0,,0.92,0.063
quinquenio1,ANTES INTERCEPTOR SUR,6.6,,,349.0,,,36.0,,75.0,,1.39,0.19
quinquenio1,JUANCHITO,6.6,,,363.3,,,26.0,,85.0,,2.16,0.363
quinquenio1,PASO DEL COMERCIO,6.1,,,200.0,,,76.0,,105.0,,2.46,0.196
quinquenio1,PUERTO ISAACS,6.4,,,208.0,,,36.0,,104.0,,1.54,0.228
quinquenio1,PASO DE LA TORRE,6.4,,,214.0,,,49.0,,111.0,,2.05,0.286
quinquenio1,VIJES,6.4,,,258.0,,,53.0,,120.0,,2.46,0.363
quinquenio1,YOTOCO,6.5,,,176.0,,,31.0,,114.0,,0.31,0.212
quinquenio1,MEDIACANOA,6.3,,,162.0,,,33.0,,113.0,,2.26,0.205
quinquenio1,ANTES SUAREZ,6.0,1.5,100.0,6.3,93.7,0.3,38.8,4.3,70.5,24000.0,1.03,0.004
quinquenio1,ANTES RIO OVEJAS,6.1,1.5,58.0,2.2,55.8,0.2,12.2,4.9,72.0,240000000.0,2.67,0.03
quinquenio1,ANTES RIO TIMBA,6.5,1.8,99.0,11.8,87.2,0.3,23.5,6.3,66.0,2400000.0,1.23,0.029
quinquenio1,PASO DE LA BALSA,6.3,2.5,122.0,24.6,97.4,0.3,43.9,5.6,70.0,240000.0,2.05,0.045
quinquenio1,PASO DE LA BOLSA,6.5,4.5,122.0,46.3,75.7,2.1,50.0,5.8,73.0,2400000000.0,1.03,0.069
quinquenio1,PUENTE HORMIGUERO,6.3,,,249.0,,1.9,29.0,,69.0,,2.46,0.087
quinquenio1,ANTES INTERCEPTOR SUR,6.4,,,332.0,,2.0,54.0,,69.0,,1.85,0.101
quinquenio1,JUANCHITO,6.5,,,276.0,,1.9,50.0,,76.0,,1.23,0.133
quinquenio1,PASO DEL COMERCIO,6.9,,,335.0,,3.3,40.0,,82.0,,2.26,0.236
quinquenio1,PUERTO ISAACS,6.5,,,236.0,,2.7,29.0,,91.5,,1.44,0.212
quinquenio1,PASO DE LA TORRE,6.4,,,250.0,,2.9,46.0,,100.0,,1.85,0.088
quinquenio1,VIJES,6.4,,,269.0,,3.4,48.0,,108.0,,2.26,0.214
quinquenio1,YOTOCO,6.3,,,264.0,,5.3,49.0,,100.0,,1.85,0.203
quinquenio1,MEDIACANOA,6.4,,,262.0,,5.0,36.0,,109.0,,1.85,0.022
quinquenio1,RIOFRIO,6.6,50.0,202.0,102.0,100.0,0.8,27.5,2.2,110.0,24000000.0,1.64,0.189
quinquenio1,PUENTE GUAYABAL,6.5,55.0,241.0,116.0,125.0,1.7,39.8,2.5,110.0,2400000.0,2.05,0.194
quinquenio1,LA VICTORIA,6.6,65.0,237.0,127.0,110.0,1.9,32.6,2.7,115.0,240000.0,1.23,0.286
quinquenio1,ANACARO,6.6,58.0,247.0,153.0,94.0,1.5,37.8,2.9,115.0,240000.0,1.23,0.236
quinquenio1,PUENTE LA VIRGINIA,6.7,60.0,238.0,127.0,111.0,1.6,55.1,3.6,115.0,2400000.0,1.03,0.135
quinquenio1,ANTES SUAREZ,6.4,20.0,70.0,10.2,59.8,0.6,17.7,4.6,90.4,96.0,1.03,0.044
quinquenio1,ANTES RIO OVEJAS,6.1,16.0,81.0,5.4,75.6,0.6,12.5,5.8,90.4,240.0,1.03,0.027
quinquenio1,ANTES RIO TIMBA,6.4,23.0,89.0,26.2,62.8,0.7,12.5,6.7,79.1,2400000.0,0.41,0.04
quinquenio1,PASO DE LA BALSA,6.5,55.0,120.0,94.5,25.5,0.9,26.0,6.7,75.4,24000.0,1.23,0.079
quinquenio1,PASO DE LA BOLSA,6.5,60.0,135.0,86.0,49.0,0.9,22.9,6.4,71.6,24000.0,1.03,0.082
quinquenio1,PUENTE HORMIGUERO,6.3,56.0,407.0,313.0,94.0,1.4,100.9,5.5,75.0,24000000.0,0.82,0.247
quinquenio1,ANTES INTERCEPTOR SUR,6.6,120.0,236.0,190.0,46.0,1.0,23.9,6.2,113.2,940000000.0,2.05,0.069
quinquenio1,JUANCHITO,6.5,210.0,482.0,316.5,165.5,2.3,35.8,5.0,92.1,240000000.0,2.05,0.248
quinquenio1,PASO DEL COMERCIO,6.5,160.0,444.0,251.2,192.8,4.3,19.9,2.4,108.9,24000000000.0,2.05,0.445
quinquenio1,PUERTO ISAACS,6.4,150.0,312.0,240.0,72.0,1.3,31.9,3.5,102.7,24000000000.0,3.08,0.228
quinquenio1,PASO DE LA TORRE,6.5,160.0,365.0,226.2,138.8,3.9,43.8,1.9,112.0,24000000000.0,2.26,0.226
quinquenio1,VIJES,6.5,220.0,471.0,296.6,174.4,1.7,60.0,0.8,116.9,24000000000.0,2.26,0.322
quinquenio1,YOTOCO,6.6,45.0,229.0,92.0,137.0,2.8,51.8,0.7,138.0,24000000.0,3.69,0.275
quinquenio1,MEDIACANOA,6.5,72.0,352.0,157.0,195.0,2.7,19.9,1.1,130.7,24000000000.0,2.05,0.186
quinquenio1,ANTES SUAREZ,6.1,7.0,112.0,2.7,109.3,1.0,25.0,4.1,8.3,23.0,1.12,0.055
quinquenio1,ANTES RIO OVEJAS,6.2,7.0,95.0,2.6,92.4,1.2,19.0,5.2,8.0,2400.0,0.93,0.043
quinquenio1,ANTES RIO TIMBA,6.6,6.0,96.0,1.2,94.7,1.5,23.0,6.6,7.5,24000.0,0.93,0.05
quinquenio1,PASO DE LA BALSA,6.6,8.0,89.0,5.0,84.0,1.1,16.0,6.8,73.5,24000.0,0.75,0.042
quinquenio1,PASO DE LA BOLSA,6.8,14.0,122.0,25.3,96.7,2.2,23.0,6.4,76.9,240000.0,1.12,0.094
quinquenio1,PUENTE HORMIGUERO,4.2,150.0,282.0,181.0,101.0,0.9,30.2,5.9,105.5,2400000.0,1.23,0.124
quinquenio1,ANTES INTERCEPTOR SUR,6.8,12.0,120.0,31.0,89.0,2.4,18.0,5.9,87.8,240000000.0,1.12,0.121
quinquenio1,JUANCHITO,6.5,2.0,,49.0,86.0,3.9,21.0,3.1,99.2,240000000.0,1.31,0.137
quinquenio1,PASO DEL COMERCIO,6.4,4.0,151.0,47.5,103.5,9.2,33.0,1.9,112.6,240000000.0,3.0,0.277
quinquenio1,PUERTO ISAACS,6.5,5.0,148.0,29.5,118.5,2.9,25.0,1.6,111.0,240000000.0,2.2,0.127
quinquenio1,PASO DE LA TORRE,6.7,24.0,158.0,23.0,135.0,6.6,43.0,,147.3,240000000.0,2.0,0.247
quinquenio1,VIJES,6.7,25.0,252.0,69.0,183.0,6.6,53.0,0.6,147.0,240000000.0,3.2,0.024
quinquenio1,YOTOCO,6.6,20.0,148.0,41.5,106.5,3.9,32.0,,144.0,2400000.0,3.2,0.205
quinquenio1,MEDIACANOA,6.7,4.0,154.0,35.5,118.5,3.9,42.0,0.5,161.6,240000000.0,3.2,0.187
quinquenio1,RIOFRIO,6.9,23.0,156.0,48.0,108.0,2.0,19.0,1.5,146.1,240000000.0,2.4,0.127
quinquenio1,PUENTE GUAYABAL,6.8,14.0,153.0,23.0,130.0,2.8,32.0,1.5,168.5,240000000.0,2.6,0.143
quinquenio1,LA VICTORIA,7.0,15.0,171.0,24.0,147.0,2.5,30.0,2.0,182.9,2400000.0,2.2,0.251
quinquenio1,ANACARO,7.0,16.0,146.0,29.5,116.5,2.6,25.0,2.3,129.7,24000.0,1.3,0.179
quinquenio1,PUENTE LA VIRGINIA,7.0,30.0,162.0,53.0,109.0,2.4,33.0,2.2,153.4,240000000.0,1.3,0.19
quinquenio1,ANTES SUAREZ,6.8,,161.0,25.5,135.5,1.2,13.5,1.7,190.0,2400.0,1.4,0.018
